title,filename,path,size_bytes,size_gb,resolution,width,height,video_codec,audio_codec,hdr,source,group,duration_minutes,bitrate_mbps
Guardians of the Galaxy Vol. 2 (2017),Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,/mnt/media/4K Movies/Guardians of the Galaxy Vol. 2 (2017)/Guardians of the Galaxy Vol. 2 (2017) {imdb-tt3896198} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-SPHD.mkv,38209102158,35.58,2160p,3840,1604,H.265,TrueHD,DV HDR10,BluRay,,135.8,37.52
Dunkirk (2017),Dunkirk (2017) {imdb-tt5013056} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Dunkirk (2017)/Dunkirk (2017) {imdb-tt5013056} [Bluray-2160p][DV HDR10][DTS-HD MA 5.1][x265]-W4NK3R.mkv,21458316651,19.98,2160p,3840,2160,H.265,DTS-HD,DV HDR10,BluRay,,106.6,26.83
Indiana Jones and the Temple of Doom (1984),Indiana Jones and the Temple of Doom (1984) {imdb-tt0087469} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,/mnt/media/4K Movies/Indiana Jones and the Temple of Doom (1984)/Indiana Jones and the Temple of Doom (1984) {imdb-tt0087469} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-W4NK3R.mkv,42585442314,39.66,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,118.4,47.94
Gladiator (2000),Gladiator (2000) {imdb-tt0172495} {edition-Extended Cut} [Remux-2160p][DV HDR10][DTS-X 7.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Gladiator (2000)/Gladiator (2000) {imdb-tt0172495} {edition-Extended Cut} [Remux-2160p][DV HDR10][DTS-X 7.1][HEVC]-FraMeSToR.mkv,74542741249,69.42,2160p,3840,2160,H.265,DTS:X,DV HDR10,Remux,,171.0,58.14
Gladiator (2000),Gladiator.2000.Extended.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR.mkv,/mnt/media/4K Movies/Gladiator (2000)/Gladiator.2000.Extended.UHD.BluRay.2160p.DTS-X.7.1.HEVC.REMUX-FraMeSToR.mkv,61270644150,57.06,2160p,3840,2160,H.265,DTS:X,,Remux,,170.9,47.79
Braveheart (1995),Braveheart (1995) {imdb-tt0112573} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,/mnt/media/4K Movies/Braveheart (1995)/Braveheart (1995) {imdb-tt0112573} [Bluray-2160p][DV HDR10][TrueHD Atmos 7.1][x265]-MainFrame.mkv,68747347634,64.03,2160p,3840,1632,H.265,TrueHD,DV HDR10,BluRay,,177.7,51.57
Star Trek Into Darkness (2013),Star Trek Into Darkness (2013) {imdb-tt1408101} {edition-Imax} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-Flights.mkv,/mnt/media/4K Movies/Star Trek Into Darkness (2013)/Star Trek Into Darkness (2013) {imdb-tt1408101} {edition-Imax} [Hybrid][Remux-2160p][DV HDR10][TrueHD Atmos 7.1][HEVC]-Flights.mkv,53441394136,49.77,2160p,3840,2160,H.265,TrueHD,DV HDR10,Remux,,132.1,53.94
Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day (1991) {imdb-tt0103064} {edition-Theatrical Cut} [Remux-2160p][PQ][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/Terminator 2 Judgment Day (1991)/Terminator 2 Judgment Day (1991) {imdb-tt0103064} {edition-Theatrical Cut} [Remux-2160p][PQ][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,52621989422,49.01,2160p,3840,2160,H.265,DTS-HD,,Remux,,137.4,51.07
Terminator 2 Judgment Day (1991),Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,/mnt/media/4K Movies/Terminator 2 Judgment Day (1991)/Terminator 2 Judgment Day 1991 Remastered Theatrical Cut GER 2160p UHD Blu-ray Remux HEVC DTS-HD MA 5.1 - BluDragon.mkv,52570884962,48.96,2160p,3840,2160,H.265,DTS-HD,,Remux,,137.1,51.11
The Wizard of Oz (1939),The Wizard of Oz (1939) {imdb-tt0032138} [Remux-2160p][DV HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,/mnt/media/4K Movies/The Wizard of Oz (1939)/The Wizard of Oz (1939) {imdb-tt0032138} [Remux-2160p][DV HDR10Plus][DTS-HD MA 5.1][HEVC]-FraMeSToR.mkv,52060629211,48.49,2160p,3840,2160,H.265,DTS-HD,DV HDR10,Remux,,101.8,68.22
